advancements.miragefairy2024.fermentation_barrel.title,The Scent of Haimeviska,ハイメヴィスカの香り
advancements.miragefairy2024.gold_prominaria.description,Use a gold ingot on the Prominaria,プロミナリアに金インゴットを使用する
advancements.miragefairy2024.gold_prominaria.title,Gold Tree,金のなる木
advancements.miragefairy2024.haimeviska.description,Explore the overworld to find Haimeviska the fairy tree,地上を探検して精樹ハイメヴィスカを探す
advancements.miragefairy2024.haimeviska.title,What is it like to be a plant?,植物として生きるとはどのようなことか
advancements.miragefairy2024.haimeviska_rosin.description,"Obtain Haimeviska Rosin, rarely harvested from the Dripping Haimeviska Logs",滴るハイメヴィスカの原木から稀に採取されるハイメヴィスカの涙を入手する
advancements.miragefairy2024.haimeviska_rosin.title,The Taste of Nectar,蜜の味
advancements.miragefairy2024.lilagium_ingot.description,"Create Lilagium using Miragium, lilac, and other materials",ミラジウム、ライラックおよびその他の素材からリラジウムを作る
advancements.miragefairy2024.lilagium_ingot.title,Alloy with Plants,植物との合金
advancements.miragefairy2024.luminite.description,"Obtain Luminite, a rare item from plants of Luminariaceae family",ルミナリア科植物のレアドロップであるルミナイトを手に入れる
advancements.miragefairy2024.luminite.title,Etheroluminescence,エテロルミネッセンス
advancements.miragefairy2024.merrrria.description,Search for Merrrria flowers blooming in the windswept,吹きさらしの丘に咲くメルルルリアの花を探す
advancements.miragefairy2024.merrrria.title,Hill Where a Moon Blooms,月の咲く丘
advancements.miragefairy2024.merrrria_drop.description,Harvest a drop from Merrrria,月鈴花メルルルリアから月のしずくを収穫する
advancements.miragefairy2024.merrrria_drop.title,Nocturnal Nocturne,真夜中だけのノクターン
advancements.miragefairy2024.mirage_flour_of_universe.description,Condense Mirage Flour into Mirage Flour of Universe,ミラージュの花粉を宇宙のミラージュの花粉まで濃縮する
advancements.miragefairy2024.mirage_flour_of_universe.title,Warping Space,ゆがむ空間
advancements.miragefairy2024.mirage_flower.description,Find the Mirage flower,妖花ミラージュを摘もう
advancements.miragefairy2024.mirage_flower.title,A World Ruled by Plants,植物の支配する世界
advancements.miragefairy2024.miragidian.description,Process Etheroballistic Bolt Fragments and sinter them using an Aura Reflector Furnace,エテロバリスティック弾の破片を加工し、オーラ反射炉で焼結する
advancements.miragefairy2024.miragidian.title,Ancient Stainless Alloy,古代のステンレス
advancements.miragefairy2024.miragidian_lamp.description,Find Miragidian Street Lamp in Retrospective City biome,過去を見つめる都市バイオームでミラジディアンの街灯を見つける
advancements.miragefairy2024.miragidian_lamp.title,Eye That Walked 30 Millennia,3万年を歩んだ瞳
advancements.miragefairy2024.miragium_ingot.description,Use the Aura Reflector Furnace to refine Mirage Flour,オーラ反射炉を使ってミラージュの花粉を製錬する
advancements.miragefairy2024.miragium_ingot.title,Solid Soul,固形の魂
advancements.miragefairy2024.miranagi_staff.description,Craft the Staff of Miranagi,みらなぎの杖を作成する
advancements.miragefairy2024.miranagi_staff.title,Innocent Dogma,盲目のドグマ
advancements.miragefairy2024.miranagite.description,Mine the Miranagite underground,地中の蒼天石を採掘する
advancements.miragefairy2024.miranagite.title,The Unknown World of Magic,魔法の世界
advancements.miragefairy2024.noise.description,Produce Noise from Calculite using a Aura Reflector Furnace,オーラ反射炉で理天石からノイズを作る
advancements.miragefairy2024.noise.title,The Essence of KU,KUの本質
advancements.miragefairy2024.phantom_drop.description,"Obtain Phantom Drop, rarely harvested from the Phantom Flower",幻花ファントムから稀に収穫できる幻想の雫を入手する
advancements.miragefairy2024.phantom_drop.title,Materialized Fantasy,植物が想像できることは植物が実現する
advancements.miragefairy2024.phantom_flower.description,Search for the Phantom Flower hidden in the Fairy Forest,妖精の森に隠れている幻花ファントムを探す
advancements.miragefairy2024.phantom_flower.title,Selective Pressure of Cuteness,かわいいの淘汰圧
advancements.miragefairy2024.poison.description,Produce poisons using a Fermentation Barrel,醸造樽で毒薬を作る
advancements.miragefairy2024.poison.title,May Contain Trace Toxic,本品は毒物と共通の設備で製造してます
advancements.miragefairy2024.prominaria.description,Search for Prominaria in the bottom of Nether Wastes,ネザーの荒地の最下層でプロミナリアを探す
advancements.miragefairy2024.prominaria.title,Subterranean Sun,地獄にともる灯
advancements.miragefairy2024.prominite.description,Harvest Prominite from Prominaria,ネザーのプロミナリアからプロミナイトを収穫する
advancements.miragefairy2024.prominite.title,Equality before Physical Law,物理法則の下の平等
advancements.miragefairy2024.rare_10_fairy.description,Summon a level 10 rarity fairy,レア度10の妖精を召喚する
advancements.miragefairy2024.rare_10_fairy.title,Transcendence of Nature,自然の超越
advancements.miragefairy2024.resonite_ingot.description,"Craft a Resonite using an Aura Reflector Furnace with Fairy Crystal, Luminite, and Echo Shard",フェアリークリスタル、ルミナイト、および残響の欠片からオーラ反射炉を使って共鳴石を製作する
advancements.miragefairy2024.resonite_ingot.title,Ambivalence in Glass,ガラスの中のアンビバレンス
advancements.miragefairy2024.retrospective_city.description,Travel the overworld and discover the Retrospective City,地上を旅して過去を見つめる都市を探す
advancements.miragefairy2024.retrospective_city.title,Graveyard of Civilization,文明の墓場
advancements.miragefairy2024.root.description,The Noisy Land of Tertia,かしましきテルティアの地
advancements.miragefairy2024.root.title,IFR25KU,IFR25KU
advancements.miragefairy2024.sarracenia.description,Find Sarracenia in the swampland,沼地のサラセニアを見つける
advancements.miragefairy2024.sarracenia.title,Temptation of Sugar and Acid,糖と酸の誘惑
advancements.miragefairy2024.telescope.description,Craft a telescope for a daily mission,デイリーミッションのための望遠鏡をクラフトする
advancements.miragefairy2024.telescope.title,The Eyes of Tertia,第三の目
advancements.miragefairy2024.time.description,Summon Timia the fairy of time,時精ティーミャを召喚する
advancements.miragefairy2024.time.title,Fairy of Time,時の妖精
advancements.miragefairy2024.topaz_luminaria.description,Search for Topaz Luminaria in the desert,砂漠でトパーズルミナリアを探す
advancements.miragefairy2024.topaz_luminaria.title,Golden Dust,黄金の塵
advancements.miragefairy2024.veropeda.description,"Harvest Veropeda the cursed grass, which grows in arid biomes and the nether",乾燥系バイオームとネザーに分布する呪草ヴェロペダを収穫する
advancements.miragefairy2024.veropeda.title,Artificial Plant Species,人造植物
advancements.miragefairy2024.weathered_ancient_remnants.description,Discover Weathered Ancient Remnants left on the surface,地上に遺された風化した旧世代の遺構を発見する
advancements.miragefairy2024.weathered_ancient_remnants.title,Spacefaring Humanity's Scars,宇宙人類の爪痕
advancements.miragefairy2024.xarpa_luminaria.description,Search for Xarpie Luminara in Dripstone Cave Ruin,鍾乳洞の遺跡でシャルピエ・ルミナーラを探す
advancements.miragefairy2024.xarpa_luminaria.title,"Destruction of ""Arcana""",「神秘」の破壊
advancements.miragefairy2024.xarpite.description,Pick up the Xarpite lying around nearby,その辺に落ちている紅天石を拾う
advancements.miragefairy2024.xarpite.title,Aura-Resistant Plastic,耐霊性プラスチック
biome.miragefairy2024.deep_fairy_forest,Deep Fairy Forest,妖精の樹海
biome.miragefairy2024.fairy_forest,Fairy Forest,妖精の森
biome.miragefairy2024.retrospective_city,Retrospective City,過去を見つめる都市
block.miragefairy2024.aura_reflector_furnace,Aura Reflector Furnace,オーラ反射炉
block.miragefairy2024.aura_reflector_furnace.poem,Life is essentially inorganic.,生命と無機物の境界。
block.miragefairy2024.aura_resistant_ceramic,Protective Aura-Resistant Ceramic,守護の耐霊石
block.miragefairy2024.aura_resistant_ceramic.poem,The eternally glorious city of Xarperia,恒久の栄華を讃える紅天市街――
block.miragefairy2024.aura_resistant_ceramic_bricks,Protective Aura-Resistant Ceramic Bricks,守護の耐霊石レンガ
block.miragefairy2024.aura_resistant_ceramic_bricks.poem,Protects lifeforms from radiation,常に純潔な魂であれ――
block.miragefairy2024.aura_resistant_ceramic_bricks_slab,Protective Aura-Resistant Ceramic Brick Slab,守護の耐霊石レンガのハーフブロック
block.miragefairy2024.aura_resistant_ceramic_bricks_slab.poem,Transmutation caused by solar flares,魔物と混淆しないために――
block.miragefairy2024.aura_resistant_ceramic_bricks_stairs,Protective Aura-Resistant Ceramic Brick Stairs,守護の耐霊石レンガの階段
block.miragefairy2024.aura_resistant_ceramic_bricks_stairs.poem,The scarlet roofs that protect citizens,暮らしを守る紅い盾――
block.miragefairy2024.aura_resistant_ceramic_slab,Protective Aura-Resistant Ceramic Slab,守護の耐霊石のハーフブロック
block.miragefairy2024.aura_resistant_ceramic_slab.poem,The unified meta-/retro-physics theory,光素力学と万物の理論の統合――
block.miragefairy2024.aura_resistant_ceramic_stairs,Protective Aura-Resistant Ceramic Stairs,守護の耐霊石の階段
block.miragefairy2024.aura_resistant_ceramic_stairs.poem,The final creative research of humanity,アカーシャに続く路――
block.miragefairy2024.aura_resistant_ceramic_tiles,Protective Aura-Resistant Ceramic Tiles,守護の耐霊石タイル
block.miragefairy2024.aura_resistant_ceramic_tiles.poem,Weather-resistance due to magnetite,生存の願いを敷石に込めて――
block.miragefairy2024.aura_stone,Aura Stone,霊氣石
block.miragefairy2024.aura_stone.poem,It absorbs auras and seals them away,呼吸する石。
block.miragefairy2024.chaos_stone_block,Chaos Stone Block,混沌の石ブロック
block.miragefairy2024.chaos_stone_block.poem,The eye of entropy.,無秩序の目。
block.miragefairy2024.chiseled_aura_resistant_ceramic,Chiseled Protective Aura-Resistant Ceramic,模様入りの守護の耐霊石
block.miragefairy2024.chiseled_aura_resistant_ceramic.poem,The Truth-Gazer.,瞳の中のサティアン。
block.miragefairy2024.cobbled_aura_resistant_ceramic,Cobbled Protective Aura-Resistant Ceramic,守護の耐霊石の丸石
block.miragefairy2024.cobbled_aura_resistant_ceramic.poem,Penetrates the monomer and solidifies,砂岩に宿るポリテルペンの祝福――
block.miragefairy2024.cracked_aura_resistant_ceramic_bricks,Cracked Protective Aura-Resistant Ceramic Bricks,ひび割れた守護の耐霊石レンガ
block.miragefairy2024.cracked_aura_resistant_ceramic_bricks.poem,Exposed and degraded fairy blood,損傷した遺伝子の断片――
block.miragefairy2024.deepslate_fluorite_ore,Deepslate Fluorite Ore,深層蛍石鉱石
block.miragefairy2024.deepslate_magnetite_ore,Deepslate Magnetite Ore,深層磁鉄鉱鉱石
block.miragefairy2024.deepslate_miranagite_ore,Deepslate Miranagite Ore,深層蒼天石鉱石
block.miragefairy2024.deepslate_miranagite_ore.poem,Singularities built by the Creator,楽園が楽園であるための奇跡。
block.miragefairy2024.deepslate_nephrite_ore,Deepslate Nephrite Ore,深層ネフライト鉱石
block.miragefairy2024.deepslate_sulfur_ore,Deepslate Sulfur Ore,深層硫黄鉱石
block.miragefairy2024.diamond_luminaria,Diamond Luminaria,金剛石輝草ダイヤモンドルミナリア
block.miragefairy2024.dripping_haimeviska_log,Dripping Haimeviska Log,滴るハイメヴィスカの原木
block.miragefairy2024.dripping_haimeviska_log.description,Harvest sap when used,使用時、樹液を収穫
block.miragefairy2024.dripping_haimeviska_log.poem,A spirit named 'glucose',霊界より降りしもの。
block.miragefairy2024.drywall,Drywall,石膏ボード
block.miragefairy2024.drywall.poem,"Please use on the office ceiling, etc.",オフィスの天井等にどうぞ。
block.miragefairy2024.emerald_luminaria,Emerald Luminaria,翠玉輝草エメラルドルミナリア
block.miragefairy2024.fairy_active_consumer,Fairy Active Consumer(WIP),妖精の郵便受け(WIP)
block.miragefairy2024.fairy_active_consumer.description,The ordered items are delivered,注文したアイテムが搬入される
block.miragefairy2024.fairy_active_consumer.poem,"Tonight, I'll Be Eating...",焼き鯖だよ――
block.miragefairy2024.fairy_ceramic,Fairy Ceramic,妖精のセラミック
block.miragefairy2024.fairy_ceramic.poem,Activation by natural excitation aura,四角いスフィア。
block.miragefairy2024.fairy_ceramic_bricks,Fairy Ceramic Bricks,妖精のセラミックレンガ
block.miragefairy2024.fairy_ceramic_bricks.poem,"Suitable for walls of furnaces, etc.",練り込められた≪堅牢≫のエルグ。
block.miragefairy2024.fairy_ceramic_bricks_slab,Fairy Ceramic Brick Slab,妖精のセラミックレンガのハーフブロック
block.miragefairy2024.fairy_ceramic_bricks_slab.poem,Suitable for slopes.,石切台への敗北。
block.miragefairy2024.fairy_ceramic_bricks_stairs,Fairy Ceramic Brick Stairs,妖精のセラミックレンガの階段
block.miragefairy2024.fairy_ceramic_bricks_stairs.poem,Reached that fairy!!,その手、届かせたくて。
block.miragefairy2024.fairy_collector,Fairy Collector,いたずら妖精エンデルマーニャの隠れ家
block.miragefairy2024.fairy_collector.poem,An attractor of curiosity,あれ？ここにあったリモコン知らない？
block.miragefairy2024.fairy_crystal_glass,Fairy Crystal Glass,フェアリークリスタルガラス
block.miragefairy2024.fairy_crystal_glass.poem,It is displaying the scene behind it.,家の外を映し出す鏡。
block.miragefairy2024.fairy_house,Fairy House,妖精の家
block.miragefairy2024.fairy_house.poem,Home sweet home,あたたかいおうち
block.miragefairy2024.fairy_passive_supplier,Fairy Passive Supplier(WIP),妖精の郵便屋さん(WIP)
block.miragefairy2024.fairy_passive_supplier.description,Accepts and delivers orders,注文を受け付けて配達する
block.miragefairy2024.fairy_passive_supplier.poem,Fairies' Delivery Service,落ち込んだりもしたけれど、私は元気です。
block.miragefairy2024.fairy_statue,Broken Fairy Statue,破損した妖精の像
block.miragefairy2024.fairy_statue.description,Fairy dream can be obtained,妖精の夢を獲得可能
block.miragefairy2024.fairy_statue.format,%s Statue,%sの像
block.miragefairy2024.fairy_statue.poem,Mysterious Method of Creation,その製法は誰にも知られていない
block.miragefairy2024.fairy_statue_fountain,Fairy Statue Fountain,妖精の像の泉
block.miragefairy2024.fairy_statue_fountain.description1,Can draw lottery with 100 Fairy Jewels,100フェアリージュエルで抽選ができる
block.miragefairy2024.fairy_statue_fountain.description2,Use while sneaking to show loot table,スニーク中に使用時、提供割合を表示
block.miragefairy2024.fairy_statue_fountain.poem,Where does this water spring from...?,この水は一体どこから湧いてくるのだろう…
block.miragefairy2024.fairy_statue_fountain.usage,Please use it while holding %s,%sを持って使用してください
block.miragefairy2024.fantastic_fairy_statue,Broken Fairy Statue,破損した妖精の像
block.miragefairy2024.fantastic_fairy_statue.format,%s Statue,%sの像
block.miragefairy2024.fantastic_fairy_statue.poem,Glossier and more beautiful.,その翅は艶やかで、本物よりも美しい。
block.miragefairy2024.fermentation_barrel,Fermentation Barrel,醸造樽
block.miragefairy2024.fermentation_barrel.poem,The scent of Haimeviska feel nostalgic,懐かしき故郷の香り。
block.miragefairy2024.fluorite_block,Fluorite Block,蛍石ブロック
block.miragefairy2024.fluorite_ore,Fluorite Ore,蛍石鉱石
block.miragefairy2024.gold_prominaria,Gold Prominaria,金炎草ゴールドプロミナリア
block.miragefairy2024.golden_fairy_statue,Broken Fairy Statue,破損した妖精の像
block.miragefairy2024.golden_fairy_statue.format,%s Statue,%sの像
block.miragefairy2024.golden_fairy_statue.poem,Was their hair always this long...?,妖精の髪が伸びている気がする…
block.miragefairy2024.haimeviska_bricks,Haimeviska Bricks,ハイメヴィスカレンガ
block.miragefairy2024.haimeviska_bricks.poem,An ecosystem called 'civilization',人がもたらした原生林。
block.miragefairy2024.haimeviska_bricks_slab,Haimeviska Brick Slab,ハイメヴィスカレンガのハーフブロック
block.miragefairy2024.haimeviska_bricks_slab.poem,Extremely modularized memory,ひとまわり細かくなった私。
block.miragefairy2024.haimeviska_bricks_stairs,Haimeviska Brick Stairs,ハイメヴィスカレンガの階段
block.miragefairy2024.haimeviska_bricks_stairs.poem,Forgotten paths of the technology,生体工学の歩み。
block.miragefairy2024.haimeviska_button,Haimeviska Button,ハイメヴィスカのボタン
block.miragefairy2024.haimeviska_button.poem,What is this soft and warm thing?,指先の感触。
block.miragefairy2024.haimeviska_door,Haimeviska Door,ハイメヴィスカのドア
block.miragefairy2024.haimeviska_door.poem,Astral read-only vortex,遺伝子の水平伝播。
block.miragefairy2024.haimeviska_fence,Haimeviska Fence,ハイメヴィスカのフェンス
block.miragefairy2024.haimeviska_fence.poem,Personality flowing through the xylem,樹のなかに住む。
block.miragefairy2024.haimeviska_fence_gate,Haimeviska Fence Gate,ハイメヴィスカのフェンスゲート
block.miragefairy2024.haimeviska_fence_gate.poem,It chose this path of its own will,知性の邂逅。
block.miragefairy2024.haimeviska_leaves,Haimeviska Leaves,ハイメヴィスカの葉
block.miragefairy2024.haimeviska_leaves.poem,All original flowers are consumed by ivy,妖精になれる花、なれない花。
block.miragefairy2024.haimeviska_log,Haimeviska Log,ハイメヴィスカの原木
block.miragefairy2024.haimeviska_log.description,Can be incised with a sword,剣を使って傷を付けられる
block.miragefairy2024.haimeviska_log.poem,Symbiosis with parasitic Mirages,妖精の滲み込んだ樹。
block.miragefairy2024.haimeviska_planks,Haimeviska Planks,ハイメヴィスカの板材
block.miragefairy2024.haimeviska_planks.poem,"Flexible and friendly, good for interior",考える、壁。
block.miragefairy2024.haimeviska_pressure_plate,Haimeviska Pressure Plate,ハイメヴィスカの感圧板
block.miragefairy2024.haimeviska_pressure_plate.poem,Creature with the name of a machine,反応と感覚の違い。
block.miragefairy2024.haimeviska_sapling,Haimeviska Sapling,ハイメヴィスカの苗木
block.miragefairy2024.haimeviska_sapling.poem,Assembling molecules with Ergs,第二の葉緑体。
block.miragefairy2024.haimeviska_slab,Haimeviska Slab,ハイメヴィスカのハーフブロック
block.miragefairy2024.haimeviska_slab.poem,Searching for another personality.,半人前の側頭葉。
block.miragefairy2024.haimeviska_stairs,Haimeviska Stairs,ハイメヴィスカの階段
block.miragefairy2024.haimeviska_stairs.poem,Step that pierces the sky,情緒体を喰らう頂となれ。
block.miragefairy2024.haimeviska_trapdoor,Haimeviska Trapdoor,ハイメヴィスカのトラップドア
block.miragefairy2024.haimeviska_trapdoor.poem,Intermingling astral vortices,自己認識の防衛線。
block.miragefairy2024.haimeviska_wood,Haimeviska Wood,ハイメヴィスカの木
block.miragefairy2024.haimeviska_wood.poem,Hydraulic communication system,ウィスプたちの集合知。
block.miragefairy2024.hollow_haimeviska_log,Hollow Haimeviska Log,ハイメヴィスカの樹洞
block.miragefairy2024.hollow_haimeviska_log.poem,Auric conceptual attractor,限界巡回アステリア。
block.miragefairy2024.incised_haimeviska_log,Incised Haimeviska Log,傷の付いたハイメヴィスカの原木
block.miragefairy2024.incised_haimeviska_log.description,Produces sap over time,時間経過で樹液を生産
block.miragefairy2024.incised_haimeviska_log.poem,Do fairy trees have qualia of pain?,動物を守るということ。
block.miragefairy2024.local_vacuum_decay,Local Vacuum Decay,局所真空崩壊
block.miragefairy2024.local_vacuum_decay.poem,Stable instability due to anti-entropy,これが秩序の究極の形だというのか？
block.miragefairy2024.luminite_block,Luminite Block,ルミナイトブロック
block.miragefairy2024.luminite_block.poem,Catalytic digestion of astral vortices,光り輝く魂のエネルギー。
block.miragefairy2024.magnetite_block,Magnetite Block,磁鉄鉱ブロック
block.miragefairy2024.magnetite_ore,Magnetite Ore,磁鉄鉱鉱石
block.miragefairy2024.merrrria,Merrrria,月鈴花メルルルリア
block.miragefairy2024.mirage_flower,Mirage Flower,妖花ミラージュ
block.miragefairy2024.miragidian_block,Miragidian Block,ミラジディアンブロック
block.miragefairy2024.miragidian_block.poem,The wall feels like it's protecting us,その身に宿る、黒曜石の魂。
block.miragefairy2024.miragidian_lamp,Miragidian Street Lamp,ミラジディアンの街灯
block.miragefairy2024.miragidian_lamp.poem,I remember… my sister turned into a …,覚えてるよ…まだ人間だった妹が殺された日
block.miragefairy2024.miragidian_steel_tiles,Miragidian Steel Block,ミラジディアンスチールブロック
block.miragefairy2024.miragidian_steel_tiles.poem,Oxide film on the surface prevents rust.,鉄は貴重だった。大戦で多くを失ったのだ。
block.miragefairy2024.miranagite_block,Miranagite Block,蒼天石ブロック
block.miragefairy2024.miranagite_block.poem,Passivation confines discontinuous space,虚空に導かれし、神域との接合点。
block.miragefairy2024.miranagite_ore,Miranagite Ore,蒼天石鉱石
block.miragefairy2024.miranagite_ore.poem,What lies beyond a Garden of Eden?,秩序の石は楽園の先に何を見るのか？
block.miragefairy2024.miranagite_tile_slab,Miranagite Tile Slab,蒼天石タイルのハーフブロック
block.miragefairy2024.miranagite_tile_slab.poem,A Turing-complete crystal lattice,開闢よりすべてが預言された世界。
block.miragefairy2024.miranagite_tile_stairs,Miranagite Tile Stairs,蒼天石タイルの階段
block.miragefairy2024.miranagite_tile_stairs.poem,Negative-time-evolution region,因果の遡上、楽園への道。
block.miragefairy2024.miranagite_tile_wall,Miranagite Tile Wall,蒼天石タイルの塀
block.miragefairy2024.miranagite_tile_wall.poem,An unreachable domain,二度と踏み入ることの許されぬ地。
block.miragefairy2024.miranagite_tiles,Miranagite Tiles,蒼天石タイル
block.miragefairy2024.miranagite_tiles.poem,Is time really an absolute entity?,運命を退ける、蒼神の慈愛。
block.miragefairy2024.nephrite_block,Nephrite Block,ネフライトブロック
block.miragefairy2024.nephrite_ore,Nephrite Ore,ネフライト鉱石
block.miragefairy2024.noise_block,Noise Block,ノイズブロック
block.miragefairy2024.noise_block.poem,No one can block that noise.,誰もその雑音を止めることはできない。
block.miragefairy2024.phantom_flower,Phantom Flower,幻花ファントム
block.miragefairy2024.polished_aura_resistant_ceramic,Polished Protective Aura-Resistant Ceramic,磨かれた守護の耐霊石
block.miragefairy2024.polished_aura_resistant_ceramic.poem,Economical urban astral shielding,情緒線の被曝に備えて――
block.miragefairy2024.prominaria,Prominaria,紅炎草プロミナリア
block.miragefairy2024.sarracenia,Sarracenia,瓶子草サラセニア
block.miragefairy2024.smooth_aura_resistant_ceramic,Smooth Protective Aura-Resistant Ceramic,滑らかな守護の耐霊石
block.miragefairy2024.smooth_aura_resistant_ceramic.poem,Turpentine improves its flowability,空隙に走る樹脂の流れ――
block.miragefairy2024.stripped_haimeviska_log,Stripped Haimeviska Log,樹皮を剥いだハイメヴィスカの原木
block.miragefairy2024.stripped_haimeviska_log.poem,Something lacking the essence,ぬぐわれたペルソナ。
block.miragefairy2024.stripped_haimeviska_wood,Stripped Haimeviska Wood,樹皮を剥いだハイメヴィスカの木
block.miragefairy2024.stripped_haimeviska_wood.poem,Loss of self,寄生蔦からの解放。
block.miragefairy2024.sulfur_block,Sulfur Block,硫黄ブロック
block.miragefairy2024.sulfur_ore,Sulfur Ore,硫黄鉱石
block.miragefairy2024.telescope,Minia's Telescope,ミーニャの望遠鏡
block.miragefairy2024.telescope.description,Use once a day to obtain Fairy Jewels,1日1回使用時にフェアリージュエルを獲得
block.miragefairy2024.telescope.poem,Tell me more about the human world!,きみは妖精には見えないものが見えるんだね。
block.miragefairy2024.topaz_luminaria,Topaz Luminaria,黄玉輝草トパーズルミナリア
block.miragefairy2024.veropeda,Veropeda,呪草ヴェロペダ
block.miragefairy2024.xarpa_luminaria,Xarpie Luminara,紅天輝草シャルピエ・ルミナーラ
block.miragefairy2024.xarpite_block,Xarpite Block,紅天石ブロック
block.miragefairy2024.xarpite_block.poem,Loss and reconstruction of perception,夢の世界の如き紅。
category.rei.miragefairy2024.aura_reflector_furnace,Aura Reflector Furnace,オーラ反射炉
category.rei.miragefairy2024.aura_reflector_furnace_fuel,Aura Reflector Furnace Fuel,オーラ反射炉の燃料
category.rei.miragefairy2024.block_fairy_dream_recipe,Fairy Dream: Block,妖精の夢：ブロック
category.rei.miragefairy2024.common_motif_recipe,Common Fairy,コモン妖精
category.rei.miragefairy2024.entity_fairy_dream_recipe,Fairy Dream: Entity,妖精の夢：エンティティ
category.rei.miragefairy2024.fairy_family,Fairy Family,妖精系統
category.rei.miragefairy2024.fairy_quest_recipe,Fairy Quest,フェアリークエスト
category.rei.miragefairy2024.fermentation_barrel,Fermentation Barrel,醸造樽
category.rei.miragefairy2024.harvest_notation,Harvest,収穫
category.rei.miragefairy2024.item_fairy_dream_recipe,Fairy Dream: Item,妖精の夢：アイテム
category.rei.miragefairy2024.trait_encyclopedia,Trait Encyclopedia,特性図鑑
commands.miragefairy2024.fairy_dream.already_have_dream,You already have %s dream,すでに %s の夢を持っています
commands.miragefairy2024.fairy_dream.do_not_have_dream,You don't have %s dream,あなたは %s の夢を持っていません
commands.miragefairy2024.fairy_dream.give.all.success,Gave %s fairy dreams,%s 個の妖精の夢を付与しました
commands.miragefairy2024.fairy_dream.give.one.success,Gave %s dream,%s の夢を付与しました
